"등록일","시도","시군구","업종","축종","영업상태","개소","규모","동수"
20180401,"충청남도","충청남도 아산시","가축사육업                    ","사슴","폐업",2,804.4,2
20180401,"전라남도","전라남도 광양시","가축사육업                    ","육계","정상",10,2339.67,12
20180401,"강원도","강원도 정선군","가축사육업                    ","사슴","정상",1,15,1
20180401,"강원도","강원도 원주시","가축사육업                    ","사슴","폐업",1,162,2
20180401,"경기도","경기도 하남시","가축사육업                    ","젖소","정상",2,913,4
20180401,"부산광역시","부산광역시 기장군","가축사육업                    ","산양","정상",6,4056,9
20180401,"경기도","경기도 이천시","가축사육업                    ","산양","정상",7,1250.58,6
20180401,"충청남도","충청남도 아산시","가축사육업                    ","오리","정상",3,10284.3,25
20180401,"충청남도","충청남도 금산군","가축사육업                    ","오리","폐업",1,1800,6
20180401,"경기도","경기도 김포시","부화업                        "," ","정상",1,0,0
